Round,Match_ID,Team_A,Team_B
1,1,M0 + F3,M5 + F4
1,2,M3 + F0,M6 + F5
1,3,M2 + F1,M4 + F6
2,4,M0 + F1,M3 + F2
2,5,M1 + F0,M4 + F4
2,6,M0 + F5,M6 + F3
3,7,M0 + F0,M1 + F1
3,8,M2 + F2,M5 + F5
3,9,M5 + F6,M6 + F4
4,10,M0 + F2,M2 + F0
4,11,M4 + F1,M5 + F3
4,12,M1 + F6,M3 + F3
5,13,M3 + F6,M5 + F0
5,14,M4 + F3,M6 + F2
5,15,M1 + F4,M2 + F5
6,16,M2 + F3,M6 + F0
6,17,M1 + F5,M5 + F1
6,18,M3 + F4,M4 + F2
7,19,M2 + F4,M3 + F1
7,20,M1 + F2,M6 + F6
7,21,M0 + F6,M4 + F5
