Round,Match_ID,Team_A,Team_B
1,1,M2 + F4,M4 + F0
1,2,M3 + F5,M5 + F2
1,3,M1 + F3,M7 + F1
1,4,M0 + F6,M2 + F7
2,5,M0 + F0,M7 + F5
2,6,M4 + F4,M5 + F1
2,7,M1 + F7,M2 + F3
2,8,M3 + F6,M6 + F4
3,9,M5 + F7,M7 + F0
3,10,M1 + F1,M6 + F5
3,11,M0 + F4,M1 + F2
3,12,M6 + F6,M7 + F3
4,13,M3 + F0,M4 + F3
4,14,M0 + F1,M5 + F6
4,15,M4 + F7,M6 + F2
4,16,M2 + F5,M7 + F4
5,17,M2 + F0,M6 + F1
5,18,M1 + F4,M3 + F7
5,19,M4 + F2,M7 + F6
5,20,M0 + F5,M3 + F3
6,21,M2 + F1,M3 + F2
6,22,M5 + F4,M6 + F3
6,23,M0 + F7,M4 + F5
6,24,M1 + F6,M5 + F0
7,25,M0 + F2,M6 + F0
7,26,M2 + F2,M5 + F3
7,27,M3 + F1,M7 + F7
7,28,M1 + F5,M4 + F6
