Round,Match_ID,Team_A,Team_B
1,1,M4 + F1,M8 + F3
1,2,M0 + F6,M5 + F0
1,3,M3 + F4,M7 + F8
1,4,M5 + F7,M6 + F2
2,5,M5 + F2,M7 + F0
2,6,M0 + F4,M1 + F3
2,7,M6 + F5,M8 + F6
2,8,M0 + F7,M4 + F8
3,9,M2 + F4,M4 + F0
3,10,M3 + F1,M6 + F7
3,11,M0 + F3,M7 + F5
3,12,M1 + F2,M8 + F8
4,13,M3 + F0,M4 + F5
4,14,M0 + F1,M2 + F2
4,15,M6 + F8,M7 + F3
4,16,M3 + F6,M8 + F4
5,17,M3 + F5,M5 + F1
5,18,M1 + F8,M6 + F0
5,19,M2 + F7,M7 + F6
5,20,M4 + F7,M5 + F3
6,21,M2 + F3,M8 + F2
6,22,M0 + F0,M3 + F7
6,23,M4 + F4,M6 + F1
6,24,M1 + F1,M5 + F6
7,25,M1 + F0,M7 + F1
7,26,M1 + F5,M4 + F2
7,27,M2 + F6,M3 + F8
7,28,M5 + F4,M8 + F7
8,29,M2 + F8,M5 + F5
8,30,M0 + F2,M6 + F4
8,31,M7 + F7,M8 + F5
8,32,M1 + F6,M3 + F3
9,33,M2 + F0,M6 + F3
9,34,M4 + F6,M7 + F2
9,35,M1 + F4,M2 + F5
9,36,M0 + F8,M8 + F1
