Round,Match_ID,Team_A,Team_B
1,1,M0 + F5,M2 + F0
1,2,M3 + F5,M10 + F2
1,3,M5 + F9,M8 + F6
1,4,M0 + F7,M6 + F4
1,5,M7 + F8,M9 + F10
2,6,M2 + F1,M6 + F2
2,7,M1 + F9,M3 + F0
2,8,M4 + F3,M9 + F7
2,9,M7 + F10,M8 + F4
2,10,M2 + F5,M5 + F8
3,11,M0 + F1,M7 + F3
3,12,M2 + F2,M4 + F6
3,13,M5 + F5,M6 + F7
3,14,M3 + F4,M8 + F9
3,15,M1 + F6,M10 + F7
4,16,M0 + F0,M9 + F2
4,17,M5 + F1,M10 + F5
4,18,M4 + F0,M6 + F10
4,19,M1 + F3,M2 + F6
4,20,M2 + F8,M7 + F7
5,21,M6 + F0,M8 + F3
5,22,M2 + F9,M9 + F1
5,23,M0 + F2,M10 + F4
5,24,M0 + F6,M3 + F8
5,25,M1 + F7,M4 + F10
6,26,M1 + F8,M8 + F1
6,27,M7 + F4,M10 + F3
6,28,M6 + F5,M9 + F6
6,29,M3 + F2,M5 + F10
6,30,M0 + F9,M4 + F7
7,31,M8 + F7,M10 + F1
7,32,M0 + F4,M5 + F6
7,33,M4 + F2,M8 + F8
7,34,M1 + F5,M7 + F9
7,35,M2 + F3,M3 + F10
8,36,M4 + F8,M10 + F0
8,37,M3 + F1,M9 + F4
8,38,M4 + F9,M5 + F3
8,39,M1 + F10,M6 + F6
8,40,M2 + F7,M8 + F2
9,41,M5 + F0,M7 + F1
9,42,M3 + F7,M7 + F0
9,43,M0 + F3,M8 + F5
9,44,M1 + F4,M9 + F8
9,45,M2 + F10,M10 + F9
10,46,M9 + F0,M10 + F6
10,47,M5 + F2,M9 + F3
10,48,M4 + F4,M7 + F5
10,49,M0 + F10,M1 + F1
10,50,M3 + F9,M6 + F8
11,51,M1 + F0,M5 + F4
11,52,M3 + F6,M4 + F1
11,53,M8 + F10,M9 + F5
11,54,M6 + F3,M10 + F8
11,55,M6 + F9,M7 + F2
